Table Name,Source File,File Type,Rows,Columns,Column Names,Sample Values,Column Formats,Staging Path
marketing_transactional_campaign_data,transactional_campaign_data.csv,csv,124887,5,"transaction_date, campaign_id, order_id, estimated arrival, availed","{'transaction_date': '2023-08-14', 'campaign_id': 'CAMPAIGN49972', 'order_id': '0612c246-57f1-40e8-9993-0f8d41992049', 'estimated arrival': '10days', 'availed': 1}","{'transaction_date': ['YYYY-MM-DD'], 'campaign_id': ['STRING'], 'order_id': ['STRING'], 'estimated arrival': ['NUM_DAYS'], 'availed': ['NUMERIC_STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\marketing_transactional_campaign_data.parquet
operations_line_item_data_prices1,line_item_data_prices1.csv,csv,500000,3,"order_id, price, quantity","{'order_id': '8d8acbac-ccbb-4609-a978-98dee3ac3088', 'price': 12.81, 'quantity': '6px'}","{'order_id': ['STRING'], 'price': ['NUMERIC_STRING'], 'quantity': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_line_item_data_prices1.parquet
operations_line_item_data_prices2,line_item_data_prices2.csv,csv,500000,3,"order_id, price, quantity","{'order_id': 'f1c591a5-fd7c-498f-ae4e-2739334878ce', 'price': 38.07, 'quantity': '4PC'}","{'order_id': ['STRING'], 'price': ['NUMERIC_STRING'], 'quantity': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_line_item_data_prices2.parquet
operations_line_item_data_prices3,line_item_data_prices3.parquet,parquet,997174,3,"order_id, price, quantity","{'order_id': 'dc70f978-3a6b-4baf-b97e-4a88690a34fe', 'price': 42.13, 'quantity': '8PC'}","{'order_id': ['STRING'], 'price': ['NUMERIC_STRING'], 'quantity': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_line_item_data_prices3.parquet
operations_line_item_data_products1,line_item_data_products1.csv,csv,500000,3,"order_id, product_name, product_id","{'order_id': '8d8acbac-ccbb-4609-a978-98dee3ac3088', 'product_name': 'Grandmas swedish thin pancakes', 'product_id': 'PRODUCT16794'}","{'order_id': ['STRING'], 'product_name': ['STRING'], 'product_id': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_line_item_data_products1.parquet
operations_line_item_data_products2,line_item_data_products2.csv,csv,500000,3,"order_id, product_name, product_id","{'order_id': 'f1c591a5-fd7c-498f-ae4e-2739334878ce', 'product_name': 'clock', 'product_id': 'PRODUCT14601'}","{'order_id': ['STRING'], 'product_name': ['STRING'], 'product_id': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_line_item_data_products2.parquet
operations_line_item_data_products3,line_item_data_products3.parquet,parquet,997174,3,"order_id, product_name, product_id","{'order_id': 'dc70f978-3a6b-4baf-b97e-4a88690a34fe', 'product_name': 'Swedish cucumber salad pressgurka', 'product_id': 'PRODUCT20506'}","{'order_id': ['STRING'], 'product_name': ['STRING'], 'product_id': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_line_item_data_products3.parquet
operations_order_data_20200101-20200701,order_data_20200101-20200701.parquet,parquet,63024,4,"order_id, user_id, estimated arrival, transaction_date","{'order_id': '0248bb48-d0d0-4a11-a158-f620640a757a', 'user_id': 'USER16283', 'estimated arrival': '13days', 'transaction_date': '2020-06-04'}","{'order_id': ['STRING'], 'user_id': ['USER_ID'], 'estimated arrival': ['NUM_DAYS'], 'transaction_date': ['YYYY-MM-DD']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_order_data_20200101-20200701.parquet
operations_order_data_20200701-20211001,order_data_20200701-20211001.pickle,pickle,159725,4,"order_id, user_id, estimated arrival, transaction_date","{'order_id': 'e1beaf61-e687-4e70-bdd4-3ea338139a0b', 'user_id': 'USER36309', 'estimated arrival': '13days', 'transaction_date': '2021-01-01'}","{'order_id': ['STRING'], 'user_id': ['USER_ID'], 'estimated arrival': ['NUM_DAYS'], 'transaction_date': ['YYYY-MM-DD']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_order_data_20200701-20211001.parquet
operations_order_data_20211001-20220101,order_data_20211001-20220101.csv,csv,32288,4,"order_id, user_id, estimated arrival, transaction_date","{'order_id': 'b4c411de-2fd3-4806-91ae-165edc9baa12', 'user_id': 'USER28531', 'estimated arrival': '13days', 'transaction_date': '2021-10-12'}","{'order_id': ['STRING'], 'user_id': ['USER_ID'], 'estimated arrival': ['NUM_DAYS'], 'transaction_date': ['YYYY-MM-DD']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_order_data_20211001-20220101.parquet
operations_order_data_20220101-20221201,order_data_20220101-20221201.xlsx,xlsx,117173,4,"order_id, user_id, estimated arrival, transaction_date","{'order_id': 'eac330c0-457a-4faa-b15a-52a3c440e7f3', 'user_id': 'USER23985', 'estimated arrival': '12days', 'transaction_date': '2022-08-13'}","{'order_id': ['STRING'], 'user_id': ['USER_ID'], 'estimated arrival': ['NUM_DAYS'], 'transaction_date': ['YYYY-MM-DD']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_order_data_20220101-20221201.parquet
operations_order_data_20221201-20230601,order_data_20221201-20230601.json,json,63744,4,"order_id, user_id, estimated arrival, transaction_date","{'order_id': '26de6b40-db2d-40b9-a64c-58736eaf0381', 'user_id': 'USER36943', 'estimated arrival': '3days', 'transaction_date': '2023-01-30'}","{'order_id': ['STRING'], 'user_id': ['USER_ID'], 'estimated arrival': ['NUM_DAYS'], 'transaction_date': ['YYYY-MM-DD']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_order_data_20221201-20230601.parquet
operations_order_data_20230601-20240101,order_data_20230601-20240101.html,html,64046,4,"order_id, user_id, estimated arrival, transaction_date","{'order_id': '0612c246-57f1-40e8-9993-0f8d41992049', 'user_id': 'USER24284', 'estimated arrival': '10days', 'transaction_date': '2023-08-14'}","{'order_id': ['STRING'], 'user_id': ['USER_ID'], 'estimated arrival': ['NUM_DAYS'], 'transaction_date': ['YYYY-MM-DD']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_order_data_20230601-20240101.parquet
operations_order_delays,order_delays.html,html,200000,2,"order_id, delay in days","{'order_id': 'a0c62902-2728-4b38-bf40-89816ebe183f', 'delay in days': 9}","{'order_id': ['STRING'], 'delay in days': ['NUMERIC_STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\operations_order_delays.parquet
